rank,ticker,company,sector,weight,market_cap_usd,market_cap_numeric,market_cap_billions,cap_category,weight_cumulative,index_concentration,snapshot_date
80,ODFL,Old Dominion Freight Line Inc.,Industrials,0.13,39.3B,39300000000.0,39.3,Large Cap,97.96,Rest (26–100),2026-05-01
81,PYPL,PayPal Holdings Inc.,Technology,0.13,39.9B,39900000000.0,39.9,Large Cap,98.09,Rest (26–100),2026-05-01
82,CCEP,Coca-Cola Europacific Partners plc,Consumer Staples,0.13,40.5B,40500000000.0,40.5,Large Cap,98.22,Rest (26–100),2026-05-01
83,TRI,Thomson Reuters Corporation,Technology,0.12,35.8B,35800000000.0,35.8,Large Cap,98.34,Rest (26–100),2026-05-01
84,TTWO,Take-Two Interactive Software Inc.,Communication Services,0.11,42.0B,42000000000.0,42.0,Large Cap,98.45,Rest (26–100),2026-05-01
85,ROP,Roper Technologies Inc.,Industrials,0.11,31.9B,31900000000.0,31.9,Large Cap,98.56,Rest (26–100),2026-05-01
86,MCHP,Microchip Technology Incorporated,Technology,0.11,52.3B,52300000000.0,52.3,Large Cap,98.67,Rest (26–100),2026-05-01
87,INSM,Insmed Incorporated,Health Care,0.11,25.6B,25600000000.0,25.6,Large Cap,98.78,Rest (26–100),2026-05-01
88,KDP,Keurig Dr Pepper Inc.,Consumer Staples,0.11,39.9B,39900000000.0,39.9,Large Cap,98.89,Rest (26–100),2026-05-01
89,AXON,Axon Enterprise Inc.,Industrials,0.11,30.4B,30400000000.0,30.4,Large Cap,99.0,Rest (26–100),2026-05-01
90,WDAY,Workday Inc. Class A,Technology,0.1,29.1B,29100000000.0,29.1,Large Cap,99.1,Rest (26–100),2026-05-01
91,PAYX,Paychex Inc.,Technology,0.1,32.2B,32200000000.000004,32.2,Large Cap,99.2,Rest (26–100),2026-05-01
92,GEHC,GE HealthCare Technologies Inc.,Health Care,0.1,28.2B,28200000000.0,28.2,Large Cap,99.3,Rest (26–100),2026-05-01
93,CPRT,Copart Inc.,Industrials,0.1,31.7B,31700000000.0,31.7,Large Cap,99.4,Rest (26–100),2026-05-01
94,CTSH,Cognizant Technology Solutions Corporation Class A,Technology,0.09,21.7B,21700000000.0,21.7,Large Cap,99.49,Rest (26–100),2026-05-01
95,CHTR,Charter Communications Inc. Class A,Communication Services,0.08,20.2B,20200000000.0,20.2,Large Cap,99.57,Rest (26–100),2026-05-01
96,KHC,Kraft Heinz Company,Consumer Staples,0.08,27.5B,27500000000.0,27.5,Large Cap,99.65,Rest (26–100),2026-05-01
97,VRSK,Verisk Analytics Inc.,Technology,0.08,21.2B,21200000000.0,21.2,Large Cap,99.73,Rest (26–100),2026-05-01
98,DXCM,DexCom Inc.,Health Care,0.08,22.6B,22600000000.0,22.6,Large Cap,99.81,Rest (26–100),2026-05-01
99,ZS,Zscaler Inc. Class A,Technology,0.07,24.5B,24500000000.0,24.5,Large Cap,99.88,Rest (26–100),2026-05-01
100,TEAM,Atlassian Corporation Class A,Technology,0.06,20.5B,20500000000.0,20.5,Large Cap,99.94,Rest (26–100),2026-05-01
